zoo,zooLabel,country,countryLabel,region,regionLabel,coord,inception,website
http://www.wikidata.org/entity/Q7425054,Sakai National Park Kujukushima Zoo & Botanical Garden,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q328000,Sasebo,Point(129.689513 33.151227),1961-01-01T00:00:00Z,https://morikirara.jp/
http://www.wikidata.org/entity/Q5617187,Gulab Bagh and Zoo,http://www.wikidata.org/entity/Q668,India,http://www.wikidata.org/entity/Q1321577,Udaipur district,Point(73.69277778 24.57138889),1881-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q58322404,Q58322404,http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q1850,Phnom Penh,Point(104.8719 11.70131),,
http://www.wikidata.org/entity/Q7421103,Sapporo Maruyama Zoo,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q30930868,Miyagaoka,Point(141.307405 43.051438),1951-05-05T00:00:00Z,https://www.city.sapporo.jp/zoo/
http://www.wikidata.org/entity/Q6444237,Kund Park,http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q2003745,Nowshera,Point(72.234718 33.928352),2000-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q95708949,Firefly Valley Leisure Park,http://www.wikidata.org/entity/Q833,Malaysia,http://www.wikidata.org/entity/Q6433828,Kota Tinggi District,Point(103.9135 1.7031),,
http://www.wikidata.org/entity/Q7695556,Tel Aviv Zoo,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q33935,Tel Aviv,Point(34.7805 32.0825),1938-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q5269661,Dhodial Pheasantry,http://www.wikidata.org/entity/Q843,Pakistan,,,Point(73.25361111 34.42055556),,http://dhodialpheasantry.com/
http://www.wikidata.org/entity/Q7039114,Ninoy Aquino Parks & Wildlife Center,http://www.wikidata.org/entity/Q928,Philippines,,,Point(121.043908 14.6505812),1954-07-05T00:00:00Z,
http://www.wikidata.org/entity/Q66432954,Shikoku Aquarium,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1156290,Utazu,Point(133.808055555 34.312777777),,https://shikoku-aquarium.jp/
